measure,label,family,level,unit,description,interpretation,requires,references
facial_valence_mean,Facial valence,affect,person,index,"Mean pleasantness of facial expression across tracked frames: smiling and cheek raising minus frowning, brow lowering and nose wrinkling.","Higher values indicate a more positive-looking face. This describes visible muscle action, not felt emotion, and speaking moves the mouth for reasons unrelated to affect -- compare with the listening figure before interpreting.",face,Ekman & Friesen (1978) Facial Action Coding System | Hess & Fischer (2013) Pers. Soc. Psychol. Rev. 17:142 -- emotional mimicry as social regulation | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony
facial_valence_variability,Facial valence variability,affect,person,index,Standard deviation of facial valence across tracked frames.,"Higher values indicate a face that changes between pleasant and unpleasant more, rather than holding one expression.",face,Ekman & Friesen (1978) Facial Action Coding System | Hess & Fischer (2013) Pers. Soc. Psychol. Rev. 17:142 -- emotional mimicry as social regulation | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony
negative_affect_proportion,Time looking negative,affect,person,proportion,Proportion of tracked frames whose facial valence is in the lower part of the range observed across both participants in this session.,"Higher values indicate more of the conversation spent looking displeased, unimpressed or concentrating. The last of those is a genuine confound: brow lowering does not distinguish them.",face,Ekman & Friesen (1978) Facial Action Coding System | Hess & Fischer (2013) Pers. Soc. Psychol. Rev. 17:142 -- emotional mimicry as social regulation | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony
partner_laughter_uptake,Laughing back,affect,person,probability above chance,How much more often this person starts laughing within two seconds of their partner starting to laugh than their own laughter rate would produce by chance.,Higher values indicate laughter that follows the partner's rather than occurring independently.,laughter,Ekman & Friesen (1978) Facial Action Coding System | Hess & Fischer (2013) Pers. Soc. Psychol. Rev. 17:142 -- emotional mimicry as social regulation | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony
partner_smile_uptake,Smiling back,affect,person,probability above chance,How much more often this person starts smiling within two seconds of their partner starting to smile than their own overall smiling rate would produce by chance.,"Higher values indicate a person whose smiling follows their partner's. Zero means their partner's smiles made no difference; a person who simply smiles a great deal scores zero, not high, which is the point of subtracting the base rate.",face,Ekman & Friesen (1978) Facial Action Coding System | Hess & Fischer (2013) Pers. Soc. Psychol. Rev. 17:142 -- emotional mimicry as social regulation | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony
positive_affect_proportion,Time looking positive,affect,person,proportion,Proportion of tracked frames whose facial valence is in the upper part of the range observed across both participants in this session.,"Higher values indicate more of the conversation spent looking pleased. The threshold is set within the session, so this compares the two partners with each other and not with other sessions.",face,Ekman & Friesen (1978) Facial Action Coding System | Hess & Fischer (2013) Pers. Soc. Psychol. Rev. 17:142 -- emotional mimicry as social regulation | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony
valence_reactivity,Expression follows partner,affect,person,correlation above chance,"Correlation between this person's facial valence and their partner's a moment earlier, above the level produced by circularly shifted surrogates of the same two signals.","Higher values indicate expression that tracks the partner's with this person lagging behind. Directional: both partners reacting to the same joke raises both figures equally, so only a difference between them says who was following whom.",face,Ekman & Friesen (1978) Facial Action Coding System | Hess & Fischer (2013) Pers. Soc. Psychol. Rev. 17:142 -- emotional mimicry as social regulation | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony
valence_synchrony,Valence synchrony (above chance),affect,dyad,correlation above chance,"How much the two partners' facial valence tracks each other, over and above the level produced by shuffled surrogates.",Higher values indicate two faces that brighten and darken together. Undirected -- it does not say who led.,face,Ekman & Friesen (1978) Facial Action Coding System | Hess & Fischer (2013) Pers. Soc. Psychol. Rev. 17:142 -- emotional mimicry as social regulation | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony
valence_synchrony_z,Valence synchrony reliability,affect,dyad,z,Standard deviations by which the observed valence synchrony exceeds its surrogate distribution.,"Above 1.96 the synchrony is beyond what independent signals with the same autocorrelation would produce. Below that the value above should be read as no evidence of coordination, whatever its size.",face,Ekman & Friesen (1978) Facial Action Coding System | Hess & Fischer (2013) Pers. Soc. Psychol. Rev. 17:142 -- emotional mimicry as social regulation | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony
valence_while_listening,Valence while listening,affect,person,index,Mean facial valence during frames where the partner holds the floor and this person is not speaking.,"The cleaner of the two valence figures: with the mouth not articulating, a raised smile channel is far more likely to be a smile. Higher values indicate a more positive listener.","face, turn_set",Ekman & Friesen (1978) Facial Action Coding System | Hess & Fischer (2013) Pers. Soc. Psychol. Rev. 17:142 -- emotional mimicry as social regulation | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony
valence_while_speaking,Valence while speaking,affect,person,index,Mean facial valence during this person's own speech.,"Read alongside the listening figure rather than on its own: articulation moves the same muscles the index is built from, so a speaker's valence is partly a measure of which vowels they used.","face, turn_set",Ekman & Friesen (1978) Facial Action Coding System | Hess & Fischer (2013) Pers. Soc. Psychol. Rev. 17:142 -- emotional mimicry as social regulation | Moulder et al. (2018) Psychol. Methods 23:757 -- surrogate testing for interpersonal synchrony
backchannel_count,Backchannel count,backchannel,person,count,Number of acknowledgment tokens this person produced.,,turn_set,
